index,class_id,seed,max_abs,mean_abs,mse,psnr_db,uint8_equal
0,0,0,2.3245811462402344e-06,1.1822061196653522e-07,2.5891986241122732e-14,141.8889462376401,False
1,1,1,0.0,0.0,0.0,inf,True
2,2,2,0.0,0.0,0.0,inf,True
3,3,3,0.0,0.0,0.0,inf,True
4,4,4,0.0,0.0,0.0,inf,True
5,5,5,0.0,0.0,0.0,inf,True
6,6,6,0.0,0.0,0.0,inf,True
7,7,7,0.0,0.0,0.0,inf,True
8,8,8,0.0,0.0,0.0,inf,True
9,9,9,0.0,0.0,0.0,inf,True
10,10,10,0.0,0.0,0.0,inf,True
11,11,11,0.0,0.0,0.0,inf,True
12,12,12,0.0,0.0,0.0,inf,True
13,13,13,0.0,0.0,0.0,inf,True
14,14,14,0.0,0.0,0.0,inf,True
15,15,15,0.0,0.0,0.0,inf,True
16,16,16,0.0,0.0,0.0,inf,True
17,17,17,0.0,0.0,0.0,inf,True
18,18,18,0.0,0.0,0.0,inf,True
19,19,19,0.0,0.0,0.0,inf,True
20,20,20,0.0,0.0,0.0,inf,True
21,21,21,0.0,0.0,0.0,inf,True
22,22,22,0.0,0.0,0.0,inf,True
23,23,23,0.0,0.0,0.0,inf,True
24,24,24,0.0,0.0,0.0,inf,True
25,25,25,0.0,0.0,0.0,inf,True
26,26,26,0.0,0.0,0.0,inf,True
27,27,27,0.0,0.0,0.0,inf,True
28,28,28,0.0,0.0,0.0,inf,True
29,29,29,0.0,0.0,0.0,inf,True
30,30,30,0.0,0.0,0.0,inf,True
31,31,31,0.0,0.0,0.0,inf,True
