index,class_id,seed,psnr_db,ssim,lpips
0,0,0,44.0308837890625,0.9963169097900391,0.010415034368634224
1,1,1,45.727996826171875,0.9978237152099609,0.004361099563539028
2,2,2,44.65061569213867,0.9973024129867554,0.008521826937794685
3,3,3,56.32396697998047,0.9997104406356812,0.001410069176927209
4,4,4,45.08335494995117,0.9971871376037598,0.0070059290155768394
5,5,5,45.22705841064453,0.9979574084281921,0.003237301716580987
6,6,6,46.853641510009766,0.9985136389732361,0.002760700648650527
7,7,7,42.650062561035156,0.9982694983482361,0.00329797575250268
8,8,8,43.35261535644531,0.9977328181266785,0.002514434978365898
9,9,9,52.023563385009766,0.9997272491455078,0.0006358764367178082
10,10,10,42.92980194091797,0.9979331493377686,0.001844428014010191
11,11,11,29.912036895751953,0.9376592636108398,0.14888761937618256
12,12,12,51.970306396484375,0.9996086359024048,0.0009523433982394636
13,13,13,40.72795104980469,0.9960818290710449,0.006795756984502077
14,14,14,49.079010009765625,0.9995753765106201,0.0006445622420869768
15,15,15,45.23761749267578,0.9975477457046509,0.003198544727638364
16,16,16,37.42594909667969,0.996491551399231,0.004725978244096041
17,17,17,42.53156661987305,0.9934619665145874,0.023417260497808456
18,18,18,43.89570236206055,0.9986571073532104,0.0006540307076647878
19,19,19,39.98359298706055,0.9928023815155029,0.014611417427659035
20,20,20,39.34245681762695,0.9924654364585876,0.014221461489796638
21,21,21,54.835594177246094,0.999923586845398,0.0001992825127672404
22,22,22,44.714385986328125,0.9961511492729187,0.005498326383531094
23,23,23,46.91374969482422,0.9974574446678162,0.0031045516952872276
24,24,24,42.12080383300781,0.9977797269821167,0.002632469404488802
25,25,25,33.38536071777344,0.9733332395553589,0.06121436506509781
26,26,26,35.65323257446289,0.9774507284164429,0.03815239667892456
27,27,27,49.97050857543945,0.9993812441825867,0.0025110533460974693
28,28,28,38.980709075927734,0.991430938243866,0.018317336216568947
29,29,29,53.89583206176758,0.9997350573539734,0.0005669246893376112
30,30,30,43.286163330078125,0.9978898763656616,0.003191881813108921
31,31,31,48.04646301269531,0.9994138479232788,0.0005997753469273448
32,32,32,48.875770568847656,0.9990992546081543,0.0017787753604352474
33,33,33,29.313701629638672,0.9274517893791199,0.15925566852092743
34,34,34,45.14194107055664,0.9983612298965454,0.002476154360920191
35,35,35,43.061676025390625,0.9984970092773438,0.003640885464847088
36,36,36,48.454490661621094,0.9995043277740479,0.0011501200497150421
37,37,37,46.17063903808594,0.9987010359764099,0.003255838993936777
38,38,38,46.904579162597656,0.9989341497421265,0.0020892976317554712
39,39,39,30.925907135009766,0.9630627632141113,0.09673592448234558
40,40,40,41.3670654296875,0.9951190948486328,0.01046096719801426
41,41,41,46.04637908935547,0.9983810186386108,0.003493314841762185
42,42,42,47.30337142944336,0.9987555742263794,0.0011371192522346973
43,43,43,46.80503463745117,0.9983074069023132,0.0025680651888251305
44,44,44,48.580108642578125,0.9991564154624939,0.0009954128181561828
45,45,45,38.79615783691406,0.9941744804382324,0.010129800997674465
46,46,46,47.337547302246094,0.9989838004112244,0.0023874721955507994
47,47,47,44.586978912353516,0.9972585439682007,0.006999884732067585
48,48,48,42.53034591674805,0.9968967437744141,0.007405275013297796
49,49,49,45.277931213378906,0.9987134337425232,0.001654468709602952
50,50,50,45.26096725463867,0.9982808828353882,0.0035834098234772682
51,51,51,43.770347595214844,0.9977672100067139,0.0044931164011359215
52,52,52,48.29143524169922,0.9990518093109131,0.0019382063765078783
53,53,53,46.11149215698242,0.9983410239219666,0.002524226438254118
54,54,54,48.018394470214844,0.9993630647659302,0.0015370874898508191
55,55,55,46.75447082519531,0.9981133341789246,0.0031477513257414103
56,56,56,40.18198013305664,0.9946276545524597,0.00844746083021164
57,57,57,45.375999450683594,0.998020350933075,0.003105584532022476
58,58,58,48.08190155029297,0.9990968108177185,0.0022606344427913427
59,59,59,39.664180755615234,0.9849304556846619,0.043174125254154205
60,60,60,36.56797409057617,0.9890875816345215,0.021302958950400352
61,61,61,44.888755798339844,0.99859619140625,0.002243063412606716
62,62,62,46.022560119628906,0.9988322257995605,0.001936636632308364
63,63,63,43.85829544067383,0.9961380362510681,0.007126070559024811
