distance_index,prev_call_step,prev_call_kind,prev_timestep,cur_call_step,cur_call_kind,cur_timestep,raw_mean,raw_std,sea_mean,sea_std,dino_mean,dino_std,lpips_mean,lpips_std
0,0,0,0.0,0,1,0.010101010091602802,0.04203740507364273,0.0008647884824313223,170.75559997558594,0.8044065833091736,0.057040221989154816,0.04363143816590309,0.06721392273902893,0.030345071107149124
1,0,1,0.010101010091602802,1,0,0.010101010091602802,0.0010840906761586666,0.0005126993055455387,0.0021356146316975355,0.0015838498948141932,0.003391954582184553,0.007566599175333977,0.002549263648688793,0.0034432916436344385
2,1,0,0.010101010091602802,1,1,0.020408162847161293,0.04285358637571335,0.001450923504307866,0.4976227879524231,0.003134480444714427,0.043527357280254364,0.04440704360604286,0.050727054476737976,0.023163963109254837
3,1,1,0.020408162847161293,2,0,0.020408162847161293,0.0009472332894802094,0.0003894867841154337,0.0014186203479766846,0.0008688964298926294,0.0023352031130343676,0.0045312498696148396,0.001908717444166541,0.005421988666057587
4,2,0,0.020408162847161293,2,1,0.030927835032343864,0.043371208012104034,0.0017983708530664444,0.45575717091560364,0.0041960165835917,0.03236810490489006,0.030726224184036255,0.03916757553815842,0.020613593980669975
5,2,1,0.030927835032343864,3,0,0.030927835032343864,0.0007522492087446153,0.0002858918742276728,0.0009329860913567245,0.0004223812429700047,0.0011093816719949245,0.003154011443257332,0.0009518259903416038,0.0016212958144024014
6,3,0,0.030927835032343864,3,1,0.0416666641831398,0.043488163501024246,0.001931389095261693,0.38030028343200684,0.004591433797031641,0.024926912039518356,0.025893578305840492,0.029409259557724,0.015852946788072586
7,3,1,0.0416666641831398,4,0,0.0416666641831398,0.0005987744079902768,0.000210356229217723,0.000653199793305248,0.00024076690897345543,0.0007296435069292784,0.002024431712925434,0.0005968752084299922,0.0009829242480918765
8,4,0,0.0416666641831398,4,1,0.052631575614213943,0.043285906314849854,0.0019389246590435505,0.31120675802230835,0.004179971758276224,0.019379444420337677,0.02356664091348648,0.02210843563079834,0.011659286916255951
9,4,1,0.052631575614213943,5,0,0.052631575614213943,0.000490727077703923,0.00017544942966196686,0.0004909351700916886,0.0001655186788411811,0.0006543858908116817,0.00338565232232213,0.0003619801136665046,0.0005029044696129858
10,5,0,0.052631575614213943,5,1,0.06382978707551956,0.04285118728876114,0.001902358839288354,0.25661566853523254,0.00343314278870821,0.01757972314953804,0.02270488254725933,0.016557130962610245,0.007832874543964863
11,5,1,0.06382978707551956,6,0,0.06382978707551956,0.00041518110083416104,0.00014267890946939588,0.00039081068825908005,0.00011862915562232956,0.0003797945100814104,0.001259557786397636,0.0002283011854160577,0.00030614680144935846
12,6,0,0.06382978707551956,6,1,0.07526881992816925,0.04223734140396118,0.001851169392466545,0.21563901007175446,0.0027487638872116804,0.013037603348493576,0.0156856682151556,0.01302387285977602,0.006660852115601301
13,6,1,0.07526881992816925,7,0,0.07526881992816925,0.00036176442517898977,0.00012164306099293754,0.00032815791200846434,9.802757995203137e-05,0.0002491811756044626,0.0005538137047551572,0.00018502310558687896,0.0003136548330076039
14,7,0,0.07526881992816925,7,1,0.08695651590824127,0.04149344936013222,0.0018035791581496596,0.18501922488212585,0.002236014697700739,0.012461323291063309,0.02767440490424633,0.011335432529449463,0.009057394228875637
15,7,1,0.08695651590824127,8,0,0.08695651590824127,0.00032403942896053195,0.00011127034667879343,0.0002876775979530066,8.948183676693588e-05,0.0002766973339021206,0.0010873443679884076,0.00019020168110728264,0.0005602844757959247
16,8,0,0.08695651590824127,8,1,0.09890110045671463,0.040662288665771484,0.001766168512403965,0.16172346472740173,0.0018569084350019693,0.00963733159005642,0.013021912425756454,0.009395133703947067,0.009779798798263073
17,8,1,0.09890110045671463,9,0,0.09890110045671463,0.0002928157337009907,0.0001042566291289404,0.00025591629673726857,8.25907482067123e-05,0.00024133478291332722,0.0009467604686506093,0.00015618362522218376,0.0004964690888300538
18,9,0,0.09890110045671463,9,1,0.1111111044883728,0.039783962070941925,0.0017407269915565848,0.14352190494537354,0.0015887812478467822,0.007497121579945087,0.009940685704350471,0.0069241393357515335,0.004418975207954645
19,9,1,0.1111111044883728,10,0,0.1111111044883728,0.00026155091472901404,9.103546472033486e-05,0.00022759534476790577,7.368269871221855e-05,0.00010433397255837917,0.00024103361647576094,7.065094541758299e-05,0.00010297055268893018
20,10,0,0.1111111044883728,10,1,0.12359550595283508,0.03888152912259102,0.001727558672428131,0.1288793832063675,0.0014351176796481013,0.005887620151042938,0.008319752290844917,0.005419312044978142,0.003293377347290516
21,10,1,0.12359550595283508,11,0,0.12359550595283508,0.000236320192925632,8.148814958985895e-05,0.00020631056395359337,7.001359335845336e-05,9.988830424845219e-05,0.00029829266713932157,5.880835306015797e-05,0.0001270957727683708
