distance_index,stage,prev_call_step,prev_call_kind,prev_call_kind_name,prev_timestep,cur_call_step,cur_call_kind,cur_call_kind_name,cur_timestep,raw_mean,raw_std,sea_mean,sea_std,dino_mean,dino_std,lpips_mean,lpips_std,raw_oracle_score_mean,raw_oracle_score_std,sea_oracle_score_mean,sea_oracle_score_std,dino_oracle_score_mean,dino_oracle_score_std,lpips_oracle_score_mean,lpips_oracle_score_std,pma_nogate_oracle_score_mean,pma_nogate_oracle_score_std,pma_stageaware_oracle_score_mean,pma_stageaware_oracle_score_std
0,early,0,0,predictor,0.0,0,1,corrector,0.010101010091602802,0.04203740491357166,0.0008647884470432543,170.7556077837944,0.8044065597595691,0.057040220126509666,0.04363143625932559,0.06721391615428729,0.030345069515148093,2.293543944801322,0.04718251067895607,168.8436870897952,0.0,246.36654693787733,75.97002696782452,238.6204092875068,42.06720738134937,213.03356170353328,29.67853125170607,168.8436870897952,0.0
1,early,0,1,corrector,0.010101010091602802,1,0,predictor,0.010101010091602802,0.001084090848280539,0.0005126993158528377,0.0021356146045263813,0.001583849870440046,0.003391954582184553,0.007566598924965733,0.002549263878876218,0.0034432914372586687,0.059147561696550596,0.0279726689550815,0.10337473589563337,0.07647482136602117,20.26004592898299,41.961107688096725,12.003123001626214,16.21262160984353,9.720300573541014,15.920444407830793,0.10337473589563337,0.07647482136602117
2,early,1,0,predictor,0.010101010091602802,1,1,corrector,0.020408162847161293,0.0428535885293968,0.0014509234740144262,0.49762279354035854,0.00313448044638447,0.04352735681459308,0.04440704762460733,0.05072705193742877,0.023163962994641112,2.3380745953914457,0.07916180256696886,19.582019096315598,0.10160205620102503,198.53824059413301,91.00170887601342,207.60904687775678,57.20274073325538,129.6769938800932,37.68345820238343,19.582019096315598,0.10160205620102503
3,early,1,1,corrector,0.020408162847161293,2,0,predictor,0.020408162847161293,0.0009472332891391488,0.00038948680314191395,0.001418620280446703,0.0008688964274112849,0.0023352031130343676,0.004531249926331176,0.001908717476268862,0.005421988529348014,0.05168066818315758,0.02125024369993306,0.0687150066109216,0.04203497985269957,14.332616437259924,27.81114277082211,8.61199343989275,20.57661162219027,6.91086896579017,12.874964153102809,0.0687150066109216,0.04203497985269957
4,early,2,0,predictor,0.020408162847161293,2,1,corrector,0.030927835032343864,0.043371205480070785,0.001798370824065099,0.4557571428595111,0.004196016797693411,0.03236810606904328,0.030726225336666725,0.03916757213664823,0.020613595409974712,2.3663155685291946,0.09811839057434878,18.20722937407424,0.13997152658569711,162.97703543705416,94.30649370917573,170.60306940621282,64.18395015598814,107.3569232026098,39.824533241476686,18.20722937407424,0.13997152658569711
5,early,2,1,corrector,0.030927835032343864,3,0,predictor,0.030927835032343864,0.0007522491695226563,0.00028589186047145237,0.0009329860947104862,0.0004223812618578234,0.0011093816719949245,0.0031540114847032324,0.0009518259646270621,0.0016212957973687021,0.041042412853213445,0.015598145194747531,0.04521054191529915,0.020453125657577672,6.808976015182001,19.358160579969574,4.481640454811032,7.633816584893882,3.405269157764029,7.668627154325263,0.04521054191529915,0.020453125657577672
6,early,3,0,predictor,0.030927835032343864,3,1,corrector,0.0416666641831398,0.04348816290439572,0.0019313890691401185,0.38030029088258743,0.00459143387316843,0.024926910642534494,0.02589357785639116,0.029409259632302565,0.01585294731652863,2.372696718671824,0.10537581265278477,15.626538681933265,0.1615662842094319,130.13299348648712,92.84990678573698,133.90374552882435,60.53253645631784,85.46163717736675,38.95120557905731,15.626538681933265,0.1615662842094319
7,early,3,1,corrector,0.0416666641831398,4,0,predictor,0.0416666641831398,0.0005987744279991603,0.00021035622862160968,0.0006531998149057472,0.00024076691266696704,0.0007296435069292784,0.0020244317478769498,0.0005968751609159995,0.0009829243010191042,0.032668892536608,0.011476951429287067,0.031658731410665206,0.011664435801633692,4.478283050576184,12.425216283661655,2.8103665659941095,4.6280659229442795,2.1992583775353545,4.823717172290215,0.031658731410665206,0.011664435801633692
8,early,4,0,predictor,0.0416666641831398,4,1,corrector,0.052631575614213943,0.04328590739169158,0.001938924613221823,0.31120673671830446,0.004179971714141166,0.01937944535166025,0.023566641981971954,0.022108435691734485,0.011659286873601293,2.3616617390526256,0.10578694891428594,13.136694814113977,0.15482434031997097,104.19777521664076,80.90770323496992,103.26707277982854,51.69183745015355,67.49413232458639,33.14501984890034,13.136694814113977,0.15482434031997097
9,early,4,1,corrector,0.052631575614213943,5,0,predictor,0.052631575614213943,0.000490727081512432,0.00017544943232818374,0.0004909351812329987,0.00016551868364207773,0.0006543858908116817,0.003385652377659842,0.0003619801195355876,0.0005029044454276066,0.026773872665710095,0.009572450629682452,0.023796548492061306,0.008020669811499929,3.9733771235366757,20.117039559889637,1.7043711853181556,2.36790862121076,1.7128431120532737,6.214333892129102,0.023796548492061306,0.008020669811499929
