method,target_rr,selected_delta,calibration_rr,test_rr,all_rr,calibration_refreshes_per_sample,test_refreshes_per_sample,all_refreshes_per_sample,calibration_samples,test_samples,all_samples,target_abs_error,target_rr_reachable,min_positive_score,max_sample_score_sum
uniform,0.3,,0.30303030303030304,0.30303030303030304,0.30303030303030304,30.0,30.0,30.0,32,224,256,,,,
uniform,0.4,,0.40404040404040403,0.40404040404040403,0.40404040404040403,40.0,40.0,40.0,32,224,256,,,,
uniform,0.5,,0.5050505050505051,0.5050505050505051,0.5050505050505051,50.0,50.0,50.0,32,224,256,,,,
raw_oracle,0.3,3.4913779857128873,0.29987373737373735,0.2987463924963925,0.2988873106060606,29.6875,29.575892857142858,29.58984375,32,224,256,0.00012626262626264095,True,0.002084187381751173,120.3930474472827
raw_oracle,0.4,2.322533343034737,0.3999368686868687,0.3991702741702742,0.3992660984848485,39.59375,39.517857142857146,39.52734375,32,224,256,6.313131313134823e-05,True,0.002084187381751173,120.3930474472827
raw_oracle,0.5,1.824224330340909,0.5,0.507260101010101,0.5063525883838383,49.5,50.21875,50.12890625,32,224,256,0.0,True,0.002084187381751173,120.3930474472827
sea_oracle,0.3,5.584317623036441,0.29987373737373735,0.30009920634920634,0.3000710227272727,29.6875,29.709821428571427,29.70703125,32,224,256,0.00012626262626264095,True,0.001735332779431561,207.9379463395593
sea_oracle,0.4,2.9460448369257586,0.3999368686868687,0.3960588023088023,0.3965435606060606,39.59375,39.20982142857143,39.2578125,32,224,256,6.313131313134823e-05,True,0.001735332779431561,207.9379463395593
sea_oracle,0.5,2.1639230789266204,0.5,0.5034722222222222,0.5030381944444444,49.5,49.84375,49.80078125,32,224,256,0.0,True,0.001735332779431561,207.9379463395593
dino_oracle,0.3,8.652037537265828,0.29987373737373735,0.32792207792207795,0.32441603535353536,29.6875,32.464285714285715,32.1171875,32,224,256,0.00012626262626264095,True,0.0003658313517468447,2297.9527528809213
dino_oracle,0.4,3.5283131800906746,0.3999368686868687,0.4392135642135642,0.4343039772727273,39.59375,43.482142857142854,42.99609375,32,224,256,6.313131313134823e-05,True,0.0003658313517468447,2297.9527528809213
dino_oracle,0.5,1.402559276557784,0.5,0.5360299422799423,0.5315261994949495,49.5,53.066964285714285,52.62109375,32,224,256,0.0,True,0.0003658313517468447,2297.9527528809213
lpips_oracle,0.3,8.776620896666616,0.29987373737373735,0.29987373737373735,0.29987373737373735,29.6875,29.6875,29.6875,32,224,256,0.00012626262626264095,True,0.0009126627149727216,1143.507292275542
lpips_oracle,0.4,3.4886195636725272,0.3999368686868687,0.40764790764790765,0.4066840277777778,39.59375,40.357142857142854,40.26171875,32,224,256,6.313131313134823e-05,True,0.0009126627149727216,1143.507292275542
lpips_oracle,0.5,1.500575342173616,0.5,0.5141594516594516,0.5123895202020202,49.5,50.901785714285715,50.7265625,32,224,256,0.0,True,0.0009126627149727216,1143.507292275542
pma_nogate_oracle,0.3,8.458087396407205,0.29987373737373735,0.30717893217893216,0.3062657828282828,29.6875,30.410714285714285,30.3203125,32,224,256,0.00012626262626264095,True,0.001337381764452465,1074.2413285309149
pma_nogate_oracle,0.4,3.819252642176121,0.3999368686868687,0.41143578643578643,0.4099984217171717,39.59375,40.732142857142854,40.58984375,32,224,256,6.313131313134823e-05,True,0.001337381764452465,1074.2413285309149
pma_nogate_oracle,0.5,1.9710949794921826,0.5,0.5202922077922078,0.5177556818181818,49.5,51.50892857142857,51.2578125,32,224,256,0.0,True,0.001337381764452465,1074.2413285309149
pma_stageaware_oracle,0.3,6.278813798537569,0.29987373737373735,0.3153860028860029,0.3134469696969697,29.6875,31.223214285714285,31.03125,32,224,256,0.00012626262626264095,True,0.0013294786874508107,542.8592788339222
pma_stageaware_oracle,0.4,3.4645301731376494,0.3999368686868687,0.41797438672438675,0.41571969696969696,39.59375,41.379464285714285,41.15625,32,224,256,6.313131313134823e-05,True,0.0013294786874508107,542.8592788339222
pma_stageaware_oracle,0.5,1.689812684566839,0.5,0.5174062049062049,0.5152304292929293,49.5,51.223214285714285,51.0078125,32,224,256,0.0,True,0.0013294786874508107,542.8592788339222
