method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
uniform,0.3,calibration,early,0,predictor,96.0,480.0,0.2,0.1
uniform,0.3,calibration,early,1,corrector,288.0,480.0,0.6,0.3
uniform,0.3,calibration,middle,0,predictor,0.0,640.0,0.0,0.0
uniform,0.3,calibration,middle,1,corrector,320.0,640.0,0.5,0.3333333333333333
uniform,0.3,calibration,late,0,predictor,32.0,480.0,0.06666666666666667,0.03333333333333333
uniform,0.3,calibration,late,1,corrector,224.0,448.0,0.5,0.23333333333333334
uniform,0.3,test,early,0,predictor,672.0,3360.0,0.2,0.1
uniform,0.3,test,early,1,corrector,2016.0,3360.0,0.6,0.3
uniform,0.3,test,middle,0,predictor,0.0,4480.0,0.0,0.0
uniform,0.3,test,middle,1,corrector,2240.0,4480.0,0.5,0.3333333333333333
uniform,0.3,test,late,0,predictor,224.0,3360.0,0.06666666666666667,0.03333333333333333
uniform,0.3,test,late,1,corrector,1568.0,3136.0,0.5,0.23333333333333334
uniform,0.3,all,early,0,predictor,768.0,3840.0,0.2,0.1
uniform,0.3,all,early,1,corrector,2304.0,3840.0,0.6,0.3
uniform,0.3,all,middle,0,predictor,0.0,5120.0,0.0,0.0
uniform,0.3,all,middle,1,corrector,2560.0,5120.0,0.5,0.3333333333333333
uniform,0.3,all,late,0,predictor,256.0,3840.0,0.06666666666666667,0.03333333333333333
uniform,0.3,all,late,1,corrector,1792.0,3584.0,0.5,0.23333333333333334
uniform,0.4,calibration,early,0,predictor,192.0,480.0,0.4,0.15
uniform,0.4,calibration,early,1,corrector,256.0,480.0,0.5333333333333333,0.2
uniform,0.4,calibration,middle,0,predictor,288.0,640.0,0.45,0.225
uniform,0.4,calibration,middle,1,corrector,192.0,640.0,0.3,0.15
uniform,0.4,calibration,late,0,predictor,160.0,480.0,0.3333333333333333,0.125
uniform,0.4,calibration,late,1,corrector,192.0,448.0,0.42857142857142855,0.15
uniform,0.4,test,early,0,predictor,1344.0,3360.0,0.4,0.15
uniform,0.4,test,early,1,corrector,1792.0,3360.0,0.5333333333333333,0.2
uniform,0.4,test,middle,0,predictor,2016.0,4480.0,0.45,0.225
uniform,0.4,test,middle,1,corrector,1344.0,4480.0,0.3,0.15
uniform,0.4,test,late,0,predictor,1120.0,3360.0,0.3333333333333333,0.125
uniform,0.4,test,late,1,corrector,1344.0,3136.0,0.42857142857142855,0.15
uniform,0.4,all,early,0,predictor,1536.0,3840.0,0.4,0.15
uniform,0.4,all,early,1,corrector,2048.0,3840.0,0.5333333333333333,0.2
uniform,0.4,all,middle,0,predictor,2304.0,5120.0,0.45,0.225
uniform,0.4,all,middle,1,corrector,1536.0,5120.0,0.3,0.15
uniform,0.4,all,late,0,predictor,1280.0,3840.0,0.3333333333333333,0.125
uniform,0.4,all,late,1,corrector,1536.0,3584.0,0.42857142857142855,0.15
uniform,0.5,calibration,early,0,predictor,320.0,480.0,0.6666666666666666,0.2
uniform,0.5,calibration,early,1,corrector,224.0,480.0,0.4666666666666667,0.14
uniform,0.5,calibration,middle,0,predictor,256.0,640.0,0.4,0.16
uniform,0.5,calibration,middle,1,corrector,352.0,640.0,0.55,0.22
uniform,0.5,calibration,late,0,predictor,256.0,480.0,0.5333333333333333,0.16
uniform,0.5,calibration,late,1,corrector,192.0,448.0,0.42857142857142855,0.12
uniform,0.5,test,early,0,predictor,2240.0,3360.0,0.6666666666666666,0.2
uniform,0.5,test,early,1,corrector,1568.0,3360.0,0.4666666666666667,0.14
uniform,0.5,test,middle,0,predictor,1792.0,4480.0,0.4,0.16
uniform,0.5,test,middle,1,corrector,2464.0,4480.0,0.55,0.22
uniform,0.5,test,late,0,predictor,1792.0,3360.0,0.5333333333333333,0.16
uniform,0.5,test,late,1,corrector,1344.0,3136.0,0.42857142857142855,0.12
uniform,0.5,all,early,0,predictor,2560.0,3840.0,0.6666666666666666,0.2
uniform,0.5,all,early,1,corrector,1792.0,3840.0,0.4666666666666667,0.14
uniform,0.5,all,middle,0,predictor,2048.0,5120.0,0.4,0.16
uniform,0.5,all,middle,1,corrector,2816.0,5120.0,0.55,0.22
uniform,0.5,all,late,0,predictor,2048.0,3840.0,0.5333333333333333,0.16
uniform,0.5,all,late,1,corrector,1536.0,3584.0,0.42857142857142855,0.12
raw_oracle,0.3,calibration,early,0,predictor,96.0,480.0,0.2,0.10105263157894737
raw_oracle,0.3,calibration,early,1,corrector,256.0,480.0,0.5333333333333333,0.2694736842105263
raw_oracle,0.3,calibration,middle,0,predictor,4.0,640.0,0.00625,0.004210526315789474
raw_oracle,0.3,calibration,middle,1,corrector,299.0,640.0,0.4671875,0.31473684210526315
raw_oracle,0.3,calibration,late,0,predictor,47.0,480.0,0.09791666666666667,0.049473684210526316
raw_oracle,0.3,calibration,late,1,corrector,248.0,448.0,0.5535714285714286,0.26105263157894737
raw_oracle,0.3,test,early,0,predictor,672.0,3360.0,0.2,0.10143396226415094
raw_oracle,0.3,test,early,1,corrector,1792.0,3360.0,0.5333333333333333,0.27049056603773586
raw_oracle,0.3,test,middle,0,predictor,18.0,4480.0,0.0040178571428571425,0.002716981132075472
raw_oracle,0.3,test,middle,1,corrector,2145.0,4480.0,0.47879464285714285,0.3237735849056604
raw_oracle,0.3,test,late,0,predictor,277.0,3360.0,0.08244047619047619,0.04181132075471698
raw_oracle,0.3,test,late,1,corrector,1721.0,3136.0,0.5487882653061225,0.2597735849056604
raw_oracle,0.3,all,early,0,predictor,768.0,3840.0,0.2,0.10138613861386139
raw_oracle,0.3,all,early,1,corrector,2048.0,3840.0,0.5333333333333333,0.27036303630363034
raw_oracle,0.3,all,middle,0,predictor,22.0,5120.0,0.004296875,0.0029042904290429044
raw_oracle,0.3,all,middle,1,corrector,2444.0,5120.0,0.47734375,0.32264026402640267
raw_oracle,0.3,all,late,0,predictor,324.0,3840.0,0.084375,0.042772277227722776
raw_oracle,0.3,all,late,1,corrector,1969.0,3584.0,0.5493861607142857,0.2599339933993399
raw_oracle,0.4,calibration,early,0,predictor,109.0,480.0,0.22708333333333333,0.08602999210734018
raw_oracle,0.4,calibration,early,1,corrector,319.0,480.0,0.6645833333333333,0.2517758484609313
raw_oracle,0.4,calibration,middle,0,predictor,0.0,640.0,0.0,0.0
raw_oracle,0.4,calibration,middle,1,corrector,359.0,640.0,0.5609375,0.2833464877663773
raw_oracle,0.4,calibration,late,0,predictor,32.0,480.0,0.06666666666666667,0.025256511444356748
raw_oracle,0.4,calibration,late,1,corrector,448.0,448.0,1.0,0.35359116022099446
raw_oracle,0.4,test,early,0,predictor,834.0,3360.0,0.24821428571428572,0.09421599638499774
raw_oracle,0.4,test,early,1,corrector,2152.0,3360.0,0.6404761904761904,0.24310890194306373
raw_oracle,0.4,test,middle,0,predictor,9.0,4480.0,0.0020089285714285712,0.001016719385449616
raw_oracle,0.4,test,middle,1,corrector,2508.0,4480.0,0.5598214285714286,0.2833258020786263
raw_oracle,0.4,test,late,0,predictor,226.0,3360.0,0.06726190476190476,0.02553095345684591
raw_oracle,0.4,test,late,1,corrector,3123.0,3136.0,0.9958545918367347,0.35280162675101673
raw_oracle,0.4,all,early,0,predictor,943.0,3840.0,0.24557291666666667,0.0931910267813025
raw_oracle,0.4,all,early,1,corrector,2471.0,3840.0,0.6434895833333333,0.24419409032513095
raw_oracle,0.4,all,middle,0,predictor,9.0,5120.0,0.0017578125,0.0008894159501927068
raw_oracle,0.4,all,middle,1,corrector,2867.0,5120.0,0.5599609375,0.28332839213361005
raw_oracle,0.4,all,late,0,predictor,258.0,3840.0,0.0671875,0.02549659057219093
raw_oracle,0.4,all,late,1,corrector,3571.0,3584.0,0.9963727678571429,0.35290048423757286
raw_oracle,0.5,calibration,early,0,predictor,96.0,480.0,0.2,0.06060606060606061
raw_oracle,0.5,calibration,early,1,corrector,474.0,480.0,0.9875,0.29924242424242425
raw_oracle,0.5,calibration,middle,0,predictor,11.0,640.0,0.0171875,0.006944444444444444
raw_oracle,0.5,calibration,middle,1,corrector,523.0,640.0,0.8171875,0.3301767676767677
raw_oracle,0.5,calibration,late,0,predictor,32.0,480.0,0.06666666666666667,0.020202020202020204
raw_oracle,0.5,calibration,late,1,corrector,448.0,448.0,1.0,0.2828282828282828
raw_oracle,0.5,test,early,0,predictor,673.0,3360.0,0.20029761904761906,0.05982754022579785
raw_oracle,0.5,test,early,1,corrector,3342.0,3360.0,0.9946428571428572,0.29709307493999465
raw_oracle,0.5,test,middle,0,predictor,75.0,4480.0,0.016741071428571428,0.006667259311938839
raw_oracle,0.5,test,middle,1,corrector,3799.0,4480.0,0.8479910714285714,0.33771890834740864
raw_oracle,0.5,test,late,0,predictor,224.0,3360.0,0.06666666666666667,0.019912881144990666
