method,target_rr,split,stage,refresh_count,opportunities,density,refresh_share
uniform,0.3,calibration,early,384.0,960.0,0.4,0.4
uniform,0.3,calibration,middle,320.0,1280.0,0.25,0.3333333333333333
uniform,0.3,calibration,late,256.0,928.0,0.27586206896551724,0.26666666666666666
uniform,0.3,test,early,2688.0,6720.0,0.4,0.4
uniform,0.3,test,middle,2240.0,8960.0,0.25,0.3333333333333333
uniform,0.3,test,late,1792.0,6496.0,0.27586206896551724,0.26666666666666666
uniform,0.3,all,early,3072.0,7680.0,0.4,0.4
uniform,0.3,all,middle,2560.0,10240.0,0.25,0.3333333333333333
uniform,0.3,all,late,2048.0,7424.0,0.27586206896551724,0.26666666666666666
uniform,0.4,calibration,early,448.0,960.0,0.4666666666666667,0.35
uniform,0.4,calibration,middle,480.0,1280.0,0.375,0.375
uniform,0.4,calibration,late,352.0,928.0,0.3793103448275862,0.275
uniform,0.4,test,early,3136.0,6720.0,0.4666666666666667,0.35
uniform,0.4,test,middle,3360.0,8960.0,0.375,0.375
uniform,0.4,test,late,2464.0,6496.0,0.3793103448275862,0.275
uniform,0.4,all,early,3584.0,7680.0,0.4666666666666667,0.35
uniform,0.4,all,middle,3840.0,10240.0,0.375,0.375
uniform,0.4,all,late,2816.0,7424.0,0.3793103448275862,0.275
uniform,0.5,calibration,early,544.0,960.0,0.5666666666666667,0.34
uniform,0.5,calibration,middle,608.0,1280.0,0.475,0.38
uniform,0.5,calibration,late,448.0,928.0,0.4827586206896552,0.28
uniform,0.5,test,early,3808.0,6720.0,0.5666666666666667,0.34
uniform,0.5,test,middle,4256.0,8960.0,0.475,0.38
uniform,0.5,test,late,3136.0,6496.0,0.4827586206896552,0.28
uniform,0.5,all,early,4352.0,7680.0,0.5666666666666667,0.34
uniform,0.5,all,middle,4864.0,10240.0,0.475,0.38
uniform,0.5,all,late,3584.0,7424.0,0.4827586206896552,0.28
raw_oracle,0.3,calibration,early,352.0,960.0,0.36666666666666664,0.3705263157894737
raw_oracle,0.3,calibration,middle,303.0,1280.0,0.23671875,0.31894736842105265
raw_oracle,0.3,calibration,late,295.0,928.0,0.31788793103448276,0.3105263157894737
raw_oracle,0.3,test,early,2464.0,6720.0,0.36666666666666664,0.37192452830188677
raw_oracle,0.3,test,middle,2163.0,8960.0,0.24140625,0.32649056603773585
raw_oracle,0.3,test,late,1998.0,6496.0,0.30757389162561577,0.3015849056603774
raw_oracle,0.3,all,early,2816.0,7680.0,0.36666666666666664,0.37174917491749176
raw_oracle,0.3,all,middle,2466.0,10240.0,0.2408203125,0.32554455445544556
raw_oracle,0.3,all,late,2293.0,7424.0,0.30886314655172414,0.3027062706270627
raw_oracle,0.4,calibration,early,428.0,960.0,0.44583333333333336,0.3378058405682715
raw_oracle,0.4,calibration,middle,359.0,1280.0,0.28046875,0.2833464877663773
raw_oracle,0.4,calibration,late,480.0,928.0,0.5172413793103449,0.3788476716653512
raw_oracle,0.4,test,early,2986.0,6720.0,0.44434523809523807,0.33732489832806145
raw_oracle,0.4,test,middle,2517.0,8960.0,0.28091517857142856,0.2843425214640759
raw_oracle,0.4,test,late,3349.0,6496.0,0.5155480295566502,0.37833258020786265
raw_oracle,0.4,all,early,3414.0,7680.0,0.44453125,0.33738511710643343
raw_oracle,0.4,all,middle,2876.0,10240.0,0.280859375,0.28421780808380276
raw_oracle,0.4,all,late,3829.0,7424.0,0.5157596982758621,0.3783970748097638
raw_oracle,0.5,calibration,early,570.0,960.0,0.59375,0.35984848484848486
raw_oracle,0.5,calibration,middle,534.0,1280.0,0.4171875,0.3371212121212121
raw_oracle,0.5,calibration,late,480.0,928.0,0.5172413793103449,0.30303030303030304
raw_oracle,0.5,test,early,4015.0,6720.0,0.5974702380952381,0.3569206151657925
raw_oracle,0.5,test,middle,3874.0,8960.0,0.4323660714285714,0.3443861676593475
raw_oracle,0.5,test,late,3360.0,6496.0,0.5172413793103449,0.29869321717485997
raw_oracle,0.5,all,early,4585.0,7680.0,0.5970052083333334,0.3572820073248656
raw_oracle,0.5,all,middle,4408.0,10240.0,0.43046875,0.3434894412841892
raw_oracle,0.5,all,late,3840.0,7424.0,0.5172413793103449,0.29922855139094523
sea_oracle,0.3,calibration,early,512.0,960.0,0.5333333333333333,0.5389473684210526
sea_oracle,0.3,calibration,middle,222.0,1280.0,0.1734375,0.2336842105263158
sea_oracle,0.3,calibration,late,216.0,928.0,0.23275862068965517,0.22736842105263158
sea_oracle,0.3,test,early,3584.0,6720.0,0.5333333333333333,0.538542449286251
sea_oracle,0.3,test,middle,1569.0,8960.0,0.17511160714285715,0.2357625845229151
sea_oracle,0.3,test,late,1502.0,6496.0,0.2312192118226601,0.22569496619083396
sea_oracle,0.3,all,early,4096.0,7680.0,0.5333333333333333,0.5385930309007232
sea_oracle,0.3,all,middle,1791.0,10240.0,0.17490234375,0.23550295857988165
sea_oracle,0.3,all,late,1718.0,7424.0,0.23141163793103448,0.22590401051939513
sea_oracle,0.4,calibration,early,576.0,960.0,0.6,0.4546172059984215
sea_oracle,0.4,calibration,middle,389.0,1280.0,0.30390625,0.30702446724546173
sea_oracle,0.4,calibration,late,302.0,928.0,0.3254310344827586,0.23835832675611682
sea_oracle,0.4,test,early,4032.0,6720.0,0.6,0.4590686553569395
sea_oracle,0.4,test,middle,2715.0,8960.0,0.30301339285714285,0.3091198906979392
sea_oracle,0.4,test,late,2036.0,6496.0,0.31342364532019706,0.23181145394512126
sea_oracle,0.4,all,early,4608.0,7680.0,0.6,0.45850746268656717
sea_oracle,0.4,all,middle,3104.0,10240.0,0.303125,0.3088557213930348
sea_oracle,0.4,all,late,2338.0,7424.0,0.31492456896551724,0.232636815920398
sea_oracle,0.5,calibration,early,576.0,960.0,0.6,0.36363636363636365
sea_oracle,0.5,calibration,middle,538.0,1280.0,0.4203125,0.33964646464646464
sea_oracle,0.5,calibration,late,470.0,928.0,0.5064655172413793,0.2967171717171717
sea_oracle,0.5,test,early,4032.0,6720.0,0.6,0.361128526645768
sea_oracle,0.5,test,middle,3831.0,8960.0,0.4275669642857143,0.3431258396775638
sea_oracle,0.5,test,late,3302.0,6496.0,0.5083128078817734,0.2957456336766682
sea_oracle,0.5,all,early,4608.0,7680.0,0.6,0.3614401129500353
sea_oracle,0.5,all,middle,4369.0,10240.0,0.42666015625,0.3426935445917327
sea_oracle,0.5,all,late,3772.0,7424.0,0.5080818965517241,0.295866342458232
dino_oracle,0.3,calibration,early,534.0,960.0,0.55625,0.5621052631578948
dino_oracle,0.3,calibration,middle,241.0,1280.0,0.18828125,0.2536842105263158
dino_oracle,0.3,calibration,late,175.0,928.0,0.18857758620689655,0.18421052631578946
dino_oracle,0.3,test,early,3896.0,6720.0,0.5797619047619048,0.5357535753575358
dino_oracle,0.3,test,middle,2083.0,8960.0,0.23247767857142856,0.28644114411441146
dino_oracle,0.3,test,late,1293.0,6496.0,0.19904556650246305,0.1778052805280528
dino_oracle,0.3,all,early,4430.0,7680.0,0.5768229166666666,0.5387983459012405
dino_oracle,0.3,all,middle,2324.0,10240.0,0.226953125,0.282656288007784
dino_oracle,0.3,all,late,1468.0,7424.0,0.19773706896551724,0.17854536609097543
dino_oracle,0.4,calibration,early,590.0,960.0,0.6145833333333334,0.46566692975532753
dino_oracle,0.4,calibration,middle,394.0,1280.0,0.3078125,0.31097079715864245
dino_oracle,0.4,calibration,late,283.0,928.0,0.30495689655172414,0.22336227308603
dino_oracle,0.4,test,early,4307.0,6720.0,0.640922619047619,0.4421971252566735
