method,target_rr,split,stage,call_kind,call_kind_name,refresh_count,opportunities,density,refresh_share
uniform,0.3,calibration,early,0,predictor,192.0,960.0,0.2,0.1
uniform,0.3,calibration,early,1,corrector,576.0,960.0,0.6,0.3
uniform,0.3,calibration,middle,0,predictor,0.0,1280.0,0.0,0.0
uniform,0.3,calibration,middle,1,corrector,640.0,1280.0,0.5,0.3333333333333333
uniform,0.3,calibration,late,0,predictor,64.0,960.0,0.06666666666666667,0.03333333333333333
uniform,0.3,calibration,late,1,corrector,448.0,896.0,0.5,0.23333333333333334
uniform,0.3,test,early,0,predictor,576.0,2880.0,0.2,0.1
uniform,0.3,test,early,1,corrector,1728.0,2880.0,0.6,0.3
uniform,0.3,test,middle,0,predictor,0.0,3840.0,0.0,0.0
uniform,0.3,test,middle,1,corrector,1920.0,3840.0,0.5,0.3333333333333333
uniform,0.3,test,late,0,predictor,192.0,2880.0,0.06666666666666667,0.03333333333333333
uniform,0.3,test,late,1,corrector,1344.0,2688.0,0.5,0.23333333333333334
uniform,0.3,all,early,0,predictor,768.0,3840.0,0.2,0.1
uniform,0.3,all,early,1,corrector,2304.0,3840.0,0.6,0.3
uniform,0.3,all,middle,0,predictor,0.0,5120.0,0.0,0.0
uniform,0.3,all,middle,1,corrector,2560.0,5120.0,0.5,0.3333333333333333
uniform,0.3,all,late,0,predictor,256.0,3840.0,0.06666666666666667,0.03333333333333333
uniform,0.3,all,late,1,corrector,1792.0,3584.0,0.5,0.23333333333333334
uniform,0.4,calibration,early,0,predictor,384.0,960.0,0.4,0.15
uniform,0.4,calibration,early,1,corrector,512.0,960.0,0.5333333333333333,0.2
uniform,0.4,calibration,middle,0,predictor,576.0,1280.0,0.45,0.225
uniform,0.4,calibration,middle,1,corrector,384.0,1280.0,0.3,0.15
uniform,0.4,calibration,late,0,predictor,320.0,960.0,0.3333333333333333,0.125
uniform,0.4,calibration,late,1,corrector,384.0,896.0,0.42857142857142855,0.15
uniform,0.4,test,early,0,predictor,1152.0,2880.0,0.4,0.15
uniform,0.4,test,early,1,corrector,1536.0,2880.0,0.5333333333333333,0.2
uniform,0.4,test,middle,0,predictor,1728.0,3840.0,0.45,0.225
uniform,0.4,test,middle,1,corrector,1152.0,3840.0,0.3,0.15
uniform,0.4,test,late,0,predictor,960.0,2880.0,0.3333333333333333,0.125
uniform,0.4,test,late,1,corrector,1152.0,2688.0,0.42857142857142855,0.15
uniform,0.4,all,early,0,predictor,1536.0,3840.0,0.4,0.15
uniform,0.4,all,early,1,corrector,2048.0,3840.0,0.5333333333333333,0.2
uniform,0.4,all,middle,0,predictor,2304.0,5120.0,0.45,0.225
uniform,0.4,all,middle,1,corrector,1536.0,5120.0,0.3,0.15
uniform,0.4,all,late,0,predictor,1280.0,3840.0,0.3333333333333333,0.125
uniform,0.4,all,late,1,corrector,1536.0,3584.0,0.42857142857142855,0.15
uniform,0.5,calibration,early,0,predictor,640.0,960.0,0.6666666666666666,0.2
