method,target_rr,split,stage,refresh_count,opportunities,density,refresh_share
uniform,0.3,calibration,early,768.0,1920.0,0.4,0.4
uniform,0.3,calibration,middle,640.0,2560.0,0.25,0.3333333333333333
uniform,0.3,calibration,late,512.0,1856.0,0.27586206896551724,0.26666666666666666
uniform,0.3,test,early,2304.0,5760.0,0.4,0.4
uniform,0.3,test,middle,1920.0,7680.0,0.25,0.3333333333333333
uniform,0.3,test,late,1536.0,5568.0,0.27586206896551724,0.26666666666666666
uniform,0.3,all,early,3072.0,7680.0,0.4,0.4
uniform,0.3,all,middle,2560.0,10240.0,0.25,0.3333333333333333
uniform,0.3,all,late,2048.0,7424.0,0.27586206896551724,0.26666666666666666
uniform,0.4,calibration,early,896.0,1920.0,0.4666666666666667,0.35
uniform,0.4,calibration,middle,960.0,2560.0,0.375,0.375
uniform,0.4,calibration,late,704.0,1856.0,0.3793103448275862,0.275
uniform,0.4,test,early,2688.0,5760.0,0.4666666666666667,0.35
uniform,0.4,test,middle,2880.0,7680.0,0.375,0.375
uniform,0.4,test,late,2112.0,5568.0,0.3793103448275862,0.275
uniform,0.4,all,early,3584.0,7680.0,0.4666666666666667,0.35
uniform,0.4,all,middle,3840.0,10240.0,0.375,0.375
uniform,0.4,all,late,2816.0,7424.0,0.3793103448275862,0.275
uniform,0.5,calibration,early,1088.0,1920.0,0.5666666666666667,0.34
uniform,0.5,calibration,middle,1216.0,2560.0,0.475,0.38
uniform,0.5,calibration,late,896.0,1856.0,0.4827586206896552,0.28
uniform,0.5,test,early,3264.0,5760.0,0.5666666666666667,0.34
uniform,0.5,test,middle,3648.0,7680.0,0.475,0.38
uniform,0.5,test,late,2688.0,5568.0,0.4827586206896552,0.28
uniform,0.5,all,early,4352.0,7680.0,0.5666666666666667,0.34
uniform,0.5,all,middle,4864.0,10240.0,0.475,0.38
uniform,0.5,all,late,3584.0,7424.0,0.4827586206896552,0.28
raw_oracle,0.3,calibration,early,704.0,1920.0,0.36666666666666664,0.37033140452393476
raw_oracle,0.3,calibration,middle,619.0,2560.0,0.241796875,0.3256180957390847
raw_oracle,0.3,calibration,late,578.0,1856.0,0.3114224137931034,0.30405049973698056
raw_oracle,0.3,test,early,2112.0,5760.0,0.36666666666666664,0.3674321503131524
raw_oracle,0.3,test,middle,1872.0,7680.0,0.24375,0.325678496868476
raw_oracle,0.3,test,late,1764.0,5568.0,0.3168103448275862,0.3068893528183716
raw_oracle,0.3,all,early,2816.0,7680.0,0.36666666666666664,0.3681526996993071
raw_oracle,0.3,all,middle,2491.0,10240.0,0.24326171875,0.3256634854229311
raw_oracle,0.3,all,late,2342.0,7424.0,0.3154633620689655,0.3061838148777618
raw_oracle,0.4,calibration,early,865.0,1920.0,0.4505208333333333,0.3413575374901342
raw_oracle,0.4,calibration,middle,711.0,2560.0,0.277734375,0.28058405682715076
raw_oracle,0.4,calibration,late,958.0,1856.0,0.5161637931034483,0.3780584056827151
raw_oracle,0.4,test,early,2616.0,5760.0,0.45416666666666666,0.34031481722388446
raw_oracle,0.4,test,middle,2198.0,7680.0,0.28619791666666666,0.285937296734747
raw_oracle,0.4,test,late,2873.0,5568.0,0.5159841954022989,0.37374788604136855
raw_oracle,0.4,all,early,3481.0,7680.0,0.4532552083333333,0.34057332941982194
raw_oracle,0.4,all,middle,2909.0,10240.0,0.28408203125,0.2846101164269641
raw_oracle,0.4,all,late,3831.0,7424.0,0.5160290948275862,0.37481655415321397
raw_oracle,0.5,calibration,early,1146.0,1920.0,0.596875,0.36174242424242425
raw_oracle,0.5,calibration,middle,1062.0,2560.0,0.41484375,0.3352272727272727
raw_oracle,0.5,calibration,late,960.0,1856.0,0.5172413793103449,0.30303030303030304
raw_oracle,0.5,test,early,3447.0,5760.0,0.5984375,0.3561318318008059
raw_oracle,0.5,test,middle,3352.0,7680.0,0.43645833333333334,0.346316768261184
raw_oracle,0.5,test,late,2880.0,5568.0,0.5172413793103449,0.2975513999380101
raw_oracle,0.5,all,early,4593.0,7680.0,0.598046875,0.35751537323888843
raw_oracle,0.5,all,middle,4414.0,10240.0,0.4310546875,0.34358215925897095
raw_oracle,0.5,all,late,3840.0,7424.0,0.5172413793103449,0.29890246750214056
sea_oracle,0.3,calibration,early,1024.0,1920.0,0.5333333333333333,0.5386638611257233
sea_oracle,0.3,calibration,middle,446.0,2560.0,0.17421875,0.23461336138874278
sea_oracle,0.3,calibration,late,431.0,1856.0,0.2322198275862069,0.22672277748553393
sea_oracle,0.3,test,early,3072.0,5760.0,0.5333333333333333,0.5368752184550857
sea_oracle,0.3,test,middle,1351.0,7680.0,0.17591145833333333,0.23610625655365258
sea_oracle,0.3,test,late,1299.0,5568.0,0.23329741379310345,0.2270185249912618
sea_oracle,0.3,all,early,4096.0,7680.0,0.5333333333333333,0.5373212645939919
sea_oracle,0.3,all,middle,1797.0,10240.0,0.17548828125,0.23573396300669028
sea_oracle,0.3,all,late,1730.0,7424.0,0.2330280172413793,0.22694477239931785
sea_oracle,0.4,calibration,early,1152.0,1920.0,0.6,0.4546172059984215
sea_oracle,0.4,calibration,middle,780.0,2560.0,0.3046875,0.30781373322809785
sea_oracle,0.4,calibration,late,602.0,1856.0,0.32435344827586204,0.23756906077348067
sea_oracle,0.4,test,early,3456.0,5760.0,0.6,0.4528301886792453
sea_oracle,0.4,test,middle,2350.0,7680.0,0.3059895833333333,0.3079140461215933
sea_oracle,0.4,test,late,1826.0,5568.0,0.32794540229885055,0.23925576519916142
sea_oracle,0.4,all,early,4608.0,7680.0,0.6,0.45327562463112336
sea_oracle,0.4,all,middle,3130.0,10240.0,0.3056640625,0.30788904190438715
sea_oracle,0.4,all,late,2428.0,7424.0,0.3270474137931034,0.23883533346448949
sea_oracle,0.5,calibration,early,1152.0,1920.0,0.6,0.36363636363636365
sea_oracle,0.5,calibration,middle,1079.0,2560.0,0.421484375,0.34059343434343436
sea_oracle,0.5,calibration,late,937.0,1856.0,0.5048491379310345,0.29577020202020204
sea_oracle,0.5,test,early,3456.0,5760.0,0.6,0.3593262632563943
sea_oracle,0.5,test,middle,3320.0,7680.0,0.4322916666666667,0.3451861093782491
sea_oracle,0.5,test,late,2842.0,5568.0,0.5104166666666666,0.2954876273653566
sea_oracle,0.5,all,early,4608.0,7680.0,0.6,0.3603941811356171
sea_oracle,0.5,all,middle,4399.0,10240.0,0.42958984375,0.3440481776943532
sea_oracle,0.5,all,late,3779.0,7424.0,0.5090247844827587,0.2955576411700297
dino_oracle,0.3,calibration,early,1074.0,1920.0,0.559375,0.5649658074697528
dino_oracle,0.3,calibration,middle,507.0,2560.0,0.198046875,0.2667017359284587
dino_oracle,0.3,calibration,late,320.0,1856.0,0.1724137931034483,0.16833245660178853
dino_oracle,0.3,test,early,3244.0,5760.0,0.5631944444444444,0.5521702127659575
dino_oracle,0.3,test,middle,1617.0,7680.0,0.210546875,0.2752340425531915
dino_oracle,0.3,test,late,1014.0,5568.0,0.18211206896551724,0.17259574468085107
dino_oracle,0.3,all,early,4318.0,7680.0,0.5622395833333333,0.555298353909465
dino_oracle,0.3,all,middle,2124.0,10240.0,0.207421875,0.27314814814814814
dino_oracle,0.3,all,late,1334.0,7424.0,0.1796875,0.17155349794238683
dino_oracle,0.4,calibration,early,1174.0,1920.0,0.6114583333333333,0.4632991318074191
dino_oracle,0.4,calibration,middle,822.0,2560.0,0.32109375,0.324388318863457
dino_oracle,0.4,calibration,late,538.0,1856.0,0.28987068965517243,0.2123125493291239
dino_oracle,0.4,test,early,3627.0,5760.0,0.6296875,0.46215596330275227
dino_oracle,0.4,test,middle,2532.0,7680.0,0.3296875,0.32262996941896027
dino_oracle,0.4,test,late,1689.0,5568.0,0.30334051724137934,0.21521406727828746
dino_oracle,0.4,all,early,4801.0,7680.0,0.6251302083333333,0.46243498362550567
dino_oracle,0.4,all,middle,3354.0,10240.0,0.3275390625,0.3230591408206511
dino_oracle,0.4,all,late,2227.0,7424.0,0.29997306034482757,0.21450587555384318
dino_oracle,0.5,calibration,early,1257.0,1920.0,0.6546875,0.39678030303030304
dino_oracle,0.5,calibration,middle,1110.0,2560.0,0.43359375,0.3503787878787879
dino_oracle,0.5,calibration,late,801.0,1856.0,0.43157327586206895,0.2528409090909091
dino_oracle,0.5,test,early,3923.0,5760.0,0.6810763888888889,0.39843591306114157
dino_oracle,0.5,test,middle,3410.0,7680.0,0.4440104166666667,0.3463335364615072
dino_oracle,0.5,test,late,2513.0,5568.0,0.45132902298850575,0.2552305504773512
dino_oracle,0.5,all,early,5180.0,7680.0,0.6744791666666666,0.39803288765944367
dino_oracle,0.5,all,middle,4520.0,10240.0,0.44140625,0.34731827262947595
dino_oracle,0.5,all,late,3314.0,7424.0,0.4463900862068966,0.2546488397110804
lpips_oracle,0.3,calibration,early,1112.0,1920.0,0.5791666666666667,0.5849552866912151
lpips_oracle,0.3,calibration,middle,535.0,2560.0,0.208984375,0.2814308258811152
lpips_oracle,0.3,calibration,late,254.0,1856.0,0.13685344827586207,0.13361388742766964
lpips_oracle,0.3,test,early,3315.0,5760.0,0.5755208333333334,0.6072540758380656
lpips_oracle,0.3,test,middle,1420.0,7680.0,0.18489583333333334,0.26012090126396775
lpips_oracle,0.3,test,late,724.0,5568.0,0.1300287356321839,0.13262502289796665
lpips_oracle,0.3,all,early,4427.0,7680.0,0.5764322916666667,0.6014945652173913
lpips_oracle,0.3,all,middle,1955.0,10240.0,0.19091796875,0.265625
lpips_oracle,0.3,all,late,978.0,7424.0,0.13173491379310345,0.1328804347826087
lpips_oracle,0.4,calibration,early,1185.0,1920.0,0.6171875,0.4676400947119179
lpips_oracle,0.4,calibration,middle,887.0,2560.0,0.346484375,0.3500394632991318
lpips_oracle,0.4,calibration,late,462.0,1856.0,0.24892241379310345,0.18232044198895028
lpips_oracle,0.4,test,early,3572.0,5760.0,0.6201388888888889,0.4882449425915801
lpips_oracle,0.4,test,middle,2419.0,7680.0,0.31497395833333336,0.33064516129032256
lpips_oracle,0.4,test,late,1325.0,5568.0,0.2379669540229885,0.18110989611809733
lpips_oracle,0.4,all,early,4757.0,7680.0,0.6194010416666667,0.4829441624365482
lpips_oracle,0.4,all,middle,3306.0,10240.0,0.3228515625,0.33563451776649744
lpips_oracle,0.4,all,late,1787.0,7424.0,0.24070581896551724,0.1814213197969543
lpips_oracle,0.5,calibration,early,1248.0,1920.0,0.65,0.3939393939393939
lpips_oracle,0.5,calibration,middle,1172.0,2560.0,0.4578125,0.369949494949495
lpips_oracle,0.5,calibration,late,748.0,1856.0,0.40301724137931033,0.2361111111111111
lpips_oracle,0.5,test,early,3805.0,5760.0,0.6605902777777778,0.40817421154258743
