method,target_rr,split,stage,refresh_count,opportunities,density,refresh_share,candidate,candidate_label,stage_weights
pma_stageaware_oracle,0.3,calibration,early,1052.0,1920.0,0.5479166666666667,0.5533929510783798,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,calibration,middle,523.0,2560.0,0.204296875,0.2751183587585481,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,calibration,late,326.0,1856.0,0.17564655172413793,0.17148869016307206,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,test,early,3179.0,5760.0,0.5519097222222222,0.5537362828775475,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,test,middle,1582.0,7680.0,0.20598958333333334,0.27556174882424667,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,test,late,980.0,5568.0,0.17600574712643677,0.1707019682982059,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,all,early,4231.0,7680.0,0.5509114583333333,0.5536508767338393,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,all,middle,2105.0,10240.0,0.20556640625,0.2754514524993457,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.3,all,late,1306.0,7424.0,0.17591594827586207,0.17089767076681497,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,calibration,early,1164.0,1920.0,0.60625,0.4593528018942384,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,calibration,middle,834.0,2560.0,0.32578125,0.3291239147592739,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,calibration,late,536.0,1856.0,0.28879310344827586,0.21152328334648776,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,test,early,3497.0,5760.0,0.6071180555555555,0.45916491596638653,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,test,middle,2522.0,7680.0,0.32838541666666665,0.33114495798319327,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,test,late,1597.0,5568.0,0.2868175287356322,0.20969012605042017,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,all,early,4661.0,7680.0,0.6069010416666667,0.4592118226600985,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
pma_stageaware_oracle,0.4,all,middle,3356.0,10240.0,0.327734375,0.33064039408866996,candidate_b,B_soft_early_dino_lpips,"early=0.70,0.20,0.10;middle=0.45,0.35,0.20;late=0.30,0.30,0.40"
