method,target_rr,split,stage,refresh_count,opportunities,density,refresh_share,candidate,candidate_label,stage_weights
pma_stageaware_oracle,0.3,calibration,early,1030.0,1920.0,0.5364583333333334,0.5418200946870069,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,calibration,middle,529.0,2560.0,0.206640625,0.27827459231983165,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,calibration,late,342.0,1856.0,0.18426724137931033,0.17990531299316148,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,test,early,3105.0,5760.0,0.5390625,0.5385015608740895,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,test,middle,1622.0,7680.0,0.21119791666666668,0.28130419701699616,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,test,late,1039.0,5568.0,0.18660201149425287,0.18019424210891433,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,all,early,4135.0,7680.0,0.5384114583333334,0.5393243772009912,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,all,middle,2151.0,10240.0,0.21005859375,0.2805530194339377,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.3,all,late,1381.0,7424.0,0.18601831896551724,0.18012260336507108,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,calibration,early,1157.0,1920.0,0.6026041666666667,0.4565903709550118,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,calibration,middle,830.0,2560.0,0.32421875,0.3275453827940016,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,calibration,late,547.0,1856.0,0.2947198275862069,0.21586424625098657,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,test,early,3483.0,5760.0,0.6046875,0.45469973890339427,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,test,middle,2534.0,7680.0,0.3299479166666667,0.3308093994778068,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,test,late,1643.0,5568.0,0.29507902298850575,0.21449086161879896,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,all,early,4640.0,7680.0,0.6041666666666666,0.45516970767117915,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,all,middle,3364.0,10240.0,0.328515625,0.3299980380616049,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.4,all,late,2190.0,7424.0,0.29498922413793105,0.214832254267216,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,calibration,early,1167.0,1920.0,0.6078125,0.3683712121212121,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,calibration,middle,1149.0,2560.0,0.448828125,0.3626893939393939,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,calibration,late,852.0,1856.0,0.45905172413793105,0.2689393939393939,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,test,early,3511.0,5760.0,0.6095486111111111,0.36572916666666666,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,test,middle,3536.0,7680.0,0.46041666666666664,0.36833333333333335,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,test,late,2553.0,5568.0,0.45851293103448276,0.2659375,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,all,early,4678.0,7680.0,0.6091145833333333,0.36638471177944865,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,all,middle,4685.0,10240.0,0.45751953125,0.3669329573934837,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
pma_stageaware_oracle,0.5,all,late,3405.0,7424.0,0.4586476293103448,0.26668233082706766,candidate_c,C_sea_heavy_low_rr,"early=0.85,0.15,0.00;middle=0.55,0.35,0.10;late=0.35,0.30,0.35"
