window_id,stage,start_call,end_call,window_len,valid_count,mean_lpips,median_lpips,q90_lpips,q95_lpips,max_lpips,mean_dino,median_dino,q90_dino,q95_dino,max_dino,mean_psnr,q05_psnr,mean_ssim,q05_ssim,failure_rate_lpips_gt_0p001,failure_rate_lpips_gt_0p005,failure_rate_lpips_gt_0p01,failure_rate_lpips_gt_0p02,failure_rate_dino_gt_0p001,failure_rate_dino_gt_0p005,failure_rate_dino_gt_0p01,failure_rate_dino_gt_0p02,status
0,sanity,1,1,1,8,0.049985470541287214,0.009657092858105898,0.1412054881453514,0.1780915699899196,0.21497765183448792,0.03256767988204956,0.004129201173782349,0.10170939564704894,0.1256146281957626,0.14951986074447632,34.92100429534912,27.33156566619873,0.9736977443099022,0.9149259239435196,1.0,0.75,0.5,0.375,0.875,0.5,0.375,0.25,dangerous
1,sanity,2,2,1,8,0.012418935425330346,0.001201858336571604,0.03332264982163906,0.04546839129179714,0.05761413276195526,0.02480947971343994,0.0005790293216705322,0.07250859737396238,0.11290479898452753,0.15330100059509277,46.77806377410889,35.13744564056397,0.9951917454600334,0.9839124143123626,0.5,0.375,0.375,0.25,0.5,0.375,0.25,0.25,dangerous
2,sanity,3,3,1,8,0.02312855061609298,0.006260122521780431,0.06602128818631171,0.0779442574828863,0.08986722677946091,0.03890293091535568,0.004890918731689453,0.11231678724288938,0.16849610209465019,0.22467541694641113,39.92904710769653,32.52244873046875,0.9897043779492378,0.9675036847591401,1.0,0.5,0.5,0.375,0.75,0.5,0.25,0.25,dangerous
3,sanity,5,5,1,8,0.011713271185726626,0.004756614565849304,0.034903626516461374,0.03626641612499952,0.037629205733537674,0.013767711818218231,0.0026259422302246094,0.04895285367965698,0.050476002693176265,0.05199915170669556,44.06453084945679,37.686944580078126,0.9952745214104652,0.9848766654729844,0.75,0.5,0.375,0.25,0.625,0.25,0.25,0.25,dangerous
4,sanity,7,7,1,8,0.00412291000066034,0.0007135878258850425,0.009958232240751385,0.012534974352456625,0.015111716464161873,0.005567088723182678,0.0008017122745513916,0.018694394826889036,0.020869281888008115,0.023044168949127197,48.61174201965332,41.79304714202881,0.9983642101287842,0.9944212168455124,0.375,0.375,0.125,0.0,0.375,0.25,0.25,0.125,dangerous
5,sanity,8,8,1,8,0.00021208737993561044,2.9402498512354214e-05,0.000567615806357935,0.0006775252200895918,0.000787434633821249,0.0002714395523071289,2.855062484741211e-05,0.0007900357246398924,0.0011313736438751216,0.0014727115631103516,64.33321952819824,54.72562484741211,0.9999248012900352,0.9997386485338211,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,safe
6,sanity,16,16,1,8,4.327304051798819e-05,2.8540574703583843e-06,0.00010549698490649456,0.00021171022381167844,0.00031792346271686256,5.408376455307007e-05,1.9669532775878906e-06,0.0001302123069763183,0.0002733647823333738,0.0004165172576904297,75.91064929962158,65.76491317749023,0.9999866187572479,0.9999346137046814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
7,sanity,32,32,1,8,7.100386636427203e-07,1.8460323758517916e-07,1.7448978553602494e-06,2.9065956738349976e-06,4.068293492309749e-06,9.015202522277832e-07,5.960464477539063e-08,2.4378299713134756e-06,4.377961158752439e-06,6.318092346191406e-06,90.03624248504639,81.42554779052735,0.9999997839331627,0.9999988883733749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
8,sanity,64,64,1,8,3.6910277279034176e-08,3.209209520349532e-08,6.520556468103677e-08,8.041491526000753e-08,9.562426583897832e-08,-3.725290298461914e-08,0.0,1.7881393432617177e-08,3.8743019104003874e-08,5.960464477539063e-08,99.44834327697754,94.79843597412109,0.9999999403953552,0.9999996483325958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
9,sanity,90,90,1,8,1.3023732563510748e-06,1.2008494536530634e-06,1.7696305349090832e-06,2.1824557052241283e-06,2.5952808755391743e-06,4.6193599700927734e-07,4.172325134277344e-07,8.046627044677734e-07,9.089708328247068e-07,1.0132789611816406e-06,86.6993179321289,83.39368057250977,0.9999993145465851,0.9999988108873368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
