sample_index,class_id,seed,window_id,stage,start_call,end_call,window_len,start_step,end_step,start_t,end_t,start_call_kind,end_call_kind,num_predictor,num_corrector,intervention_valid,invalid_reason,pis_lpips,pis_dino,pis_psnr,pis_ssim,suffix_denoiser_calls,skipped_calls,elapsed_sec,reference_image,intervention_image
4,4,4,47,mid,50,61,12,25,30,0.3333333432674408,0.4492753744125366,predictor,corrector,6,6,True,,0.0018106247298419476,0.0016756653785705566,50.517677307128906,0.9991945028305054,37,12,1.437251309864223,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0004_class0004_seed4.png,
7,7,7,47,mid,50,61,12,25,30,0.3333333432674408,0.4492753744125366,predictor,corrector,6,6,True,,0.001903077121824026,0.0004984140396118164,45.92218017578125,0.998665452003479,37,12,1.439060142962262,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0007_class0007_seed7.png,
3,3,3,50,mid,60,67,8,30,33,0.4285714626312256,0.5151515603065491,predictor,corrector,4,4,True,,0.00023979086836334318,5.328655242919922e-05,63.486141204833984,0.9999415278434753,31,8,1.2205931439530104,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0003_class0003_seed3.png,
4,4,4,50,mid,60,67,8,30,33,0.4285714626312256,0.5151515603065491,predictor,corrector,4,4,True,,0.00046005850890651345,0.0003300309181213379,57.33262634277344,0.9997968673706055,31,8,1.2051392500288785,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0004_class0004_seed4.png,
4,4,4,46,mid,50,57,8,25,28,0.3333333432674408,0.40845075249671936,predictor,corrector,4,4,True,,0.000469623802928254,0.00043129920959472656,56.217350006103516,0.9997929930686951,41,8,1.5884601301513612,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0004_class0004_seed4.png,
7,7,7,46,mid,50,57,8,25,28,0.3333333432674408,0.40845075249671936,predictor,corrector,4,4,True,,0.0005200686864554882,0.00017058849334716797,51.983551025390625,0.9996708631515503,41,8,1.5983898900449276,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0007_class0007_seed7.png,
2,2,2,38,mid,32,39,8,16,19,0.1904761791229248,0.2499999850988388,predictor,corrector,4,4,True,,0.0005292905261740088,0.0002288818359375,52.510536193847656,0.9997692108154297,59,8,2.2802573069930077,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0002_class0002_seed2.png,
3,3,3,35,mid,24,31,8,12,15,0.13636364042758942,0.1904761791229248,predictor,corrector,4,4,True,,0.0005899585084989667,9.673833847045898e-05,55.83360290527344,0.9997943639755249,67,8,2.581715235952288,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0003_class0003_seed3.png,
3,3,3,53,mid,70,77,8,35,38,0.5384615659713745,0.6393442749977112,predictor,corrector,4,4,True,,0.0006200354546308517,7.867813110351562e-05,60.80751419067383,0.9998747706413269,21,8,0.8184269620105624,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0003_class0003_seed3.png,
7,7,7,50,mid,60,67,8,30,33,0.4285714626312256,0.5151515603065491,predictor,corrector,4,4,True,,0.0006270048907026649,0.00015676021575927734,51.20756149291992,0.9995023012161255,31,8,1.2067601210437715,/mnt/iset/nfs-main/private/zhuangyifan/try/PixelGen/outputs/e5_5_multi_skip_pis/e5_5_main8_windows70_fp32/full_reference_images/idx0007_class0007_seed7.png,
