window_id,stage,start_call,end_call,window_len,valid_count,mean_lpips,median_lpips,q90_lpips,q95_lpips,max_lpips,mean_dino,median_dino,q90_dino,q95_dino,max_dino,mean_psnr,q05_psnr,mean_ssim,q05_ssim,failure_rate_lpips_gt_0p001,failure_rate_lpips_gt_0p005,failure_rate_lpips_gt_0p01,failure_rate_lpips_gt_0p02,failure_rate_dino_gt_0p001,failure_rate_dino_gt_0p005,failure_rate_dino_gt_0p01,failure_rate_dino_gt_0p02,status
0,sanity,1,1,1,1,,,,,,,,,,,28.50106430053711,28.50106430053711,0.9172950983047485,0.9172950983047485,,,,,,,,,unknown
1,sanity,3,3,1,1,,,,,,,,,,,33.930606842041016,33.930606842041016,0.9686403274536133,0.9686403274536133,,,,,,,,,unknown
2,sanity,7,7,1,1,,,,,,,,,,,42.61539840698242,42.61539840698242,0.9965285658836365,0.9965285658836365,,,,,,,,,unknown
3,sanity,16,16,1,1,,,,,,,,,,,61.29297637939453,61.29297637939453,0.9999008178710938,0.9999008178710938,,,,,,,,,unknown
4,sanity,64,64,1,1,,,,,,,,,,,98.45295715332031,98.45295715332031,1.0,1.0,,,,,,,,,unknown
5,sanity,96,96,1,1,,,,,,,,,,,76.28719329833984,76.28719329833984,0.9999951124191284,0.9999951124191284,,,,,,,,,unknown
6,transition,8,9,2,1,,,,,,,,,,,45.339385986328125,45.339385986328125,0.9984013438224792,0.9984013438224792,,,,,,,,,unknown
7,mid,16,17,2,1,,,,,,,,,,,52.03316116333008,52.03316116333008,0.9994497299194336,0.9994497299194336,,,,,,,,,unknown
8,mid,16,19,4,1,,,,,,,,,,,37.183143615722656,37.183143615722656,0.9758861064910889,0.9758861064910889,,,,,,,,,unknown
9,mid,32,35,4,1,,,,,,,,,,,38.34519577026367,38.34519577026367,0.9765024185180664,0.9765024185180664,,,,,,,,,unknown
10,mid,64,71,8,1,,,,,,,,,,,53.77320098876953,53.77320098876953,0.999562680721283,0.999562680721283,,,,,,,,,unknown
11,tail,90,91,2,1,,,,,,,,,,,68.57037353515625,68.57037353515625,0.9999684691429138,0.9999684691429138,,,,,,,,,unknown
12,tail,94,97,4,1,,,,,,,,,,,51.56800842285156,51.56800842285156,0.9989312887191772,0.9989312887191772,,,,,,,,,unknown
