window_id,stage,start_call,window_len,end_call,note
0,sanity,1,1,1,match_e5_call1
1,sanity,3,1,3,match_e5_call3
2,sanity,5,1,5,match_e5_call5
3,sanity,7,1,7,match_e5_call7
4,sanity,16,1,16,match_e5_call16
5,sanity,48,1,48,match_e5_call48
6,sanity,80,1,80,match_e5_call80
7,sanity,96,1,96,match_e5_call96
8,early,1,2,2,early_len2
9,early,3,2,4,early_len2
10,early,5,2,6,early_len2
11,early,7,2,8,early_len2
12,mid,16,2,17,mid_len2
13,mid,16,4,19,mid_len4
14,mid,16,8,23,mid_len8
15,mid,32,2,33,mid_len2
16,mid,32,4,35,mid_len4
17,mid,32,8,39,mid_len8
18,mid,48,2,49,mid_len2
19,mid,48,4,51,mid_len4
20,mid,48,8,55,mid_len8
21,mid,64,2,65,mid_len2
22,mid,64,4,67,mid_len4
23,mid,64,8,71,mid_len8
24,mid,80,2,81,mid_len2
25,mid,80,4,83,mid_len4
26,mid,80,8,87,mid_len8
27,tail,90,2,91,tail_len2
28,tail,90,4,93,tail_len4
29,tail,94,2,95,tail_len2
30,tail,94,4,97,tail_len4
31,tail,96,2,97,tail_len2
