call_index,step,t,call_kind,selected_for_test,valid_count,mean_pis_lpips,mean_pis_dino,mean_pis_psnr,min_pis_lpips,max_pis_lpips,valid_any
0,0,0.0,predictor,True,0,,,,,,False
1,0,0.010101010091602802,corrector,True,8,0.04998546838760376,0.03256767988204956,34.92100524902344,0.0018484867177903652,0.21497765183448792,True
2,1,0.010101010091602802,predictor,True,8,0.01241893507540226,0.02480947971343994,46.77806091308594,2.027809932769742e-05,0.05761413276195526,True
3,1,0.020408162847161293,corrector,True,8,0.023128550499677658,0.03890293091535568,39.929046630859375,0.0011866381391882896,0.08986722677946091,True
4,2,0.020408162847161293,predictor,True,8,0.00417582131922245,0.005835779011249542,52.99128723144531,2.484106516931206e-05,0.020170513540506363,True
5,2,0.030927835032343864,corrector,True,8,0.011713271960616112,0.013767711818218231,44.06452941894531,0.00025607491261325777,0.037629205733537674,True
6,3,0.030927835032343864,predictor,True,8,0.0009584579383954406,0.0006244555115699768,59.17518997192383,7.536395969509613e-06,0.004239200614392757,True
7,3,0.0416666641831398,corrector,True,8,0.004122910089790821,0.005567088723182678,48.61174011230469,0.00016279354167636484,0.015111716464161873,True
8,4,0.0416666641831398,predictor,True,8,0.00021208738326095045,0.0002714395523071289,64.33322143554688,2.4668267997185467e-06,0.000787434633821249,True
9,4,0.052631575614213943,corrector,True,8,0.0009365465375594795,0.001084931194782257,53.428733825683594,9.285913256462663e-05,0.003441949374973774,True
10,5,0.052631575614213943,predictor,True,8,2.0722971385112032e-05,2.7894973754882812e-05,70.353515625,9.520815638097702e-07,5.80969535803888e-05,True
11,5,0.06382978707551956,corrector,True,8,0.001122563029639423,0.0014908984303474426,56.021514892578125,8.405100379604846e-05,0.007429969497025013,True
12,6,0.06382978707551956,predictor,True,8,7.067948172334582e-05,8.326023817062378e-05,72.7320556640625,1.0828099448190187e-06,0.0005254428833723068,True
13,6,0.07526881992816925,corrector,True,8,0.0012792795896530151,0.0019921287894248962,57.83995056152344,4.508271376835182e-05,0.0092487633228302,True
14,7,0.07526881992816925,predictor,True,8,0.00011541911226231605,0.00014235079288482666,74.50861358642578,1.4506682646242552e-06,0.0009005342144519091,True
15,7,0.08695651590824127,corrector,True,8,0.000563319306820631,0.0006298273801803589,59.297332763671875,6.59426732454449e-05,0.003540583187714219,True
16,8,0.08695651590824127,predictor,True,8,4.327303759055212e-05,5.408376455307007e-05,75.91065216064453,9.896222081806627e-07,0.00031792346271686256,True
17,8,0.09890110045671463,corrector,True,8,0.0002333191514480859,0.0001594647765159607,60.831016540527344,3.44563668477349e-05,0.000713928893674165,True
18,9,0.09890110045671463,predictor,True,8,8.56474525789963e-06,7.659196853637695e-06,78.51239013671875,3.477159395970375e-07,3.1574094464303926e-05,True
19,9,0.1111111044883728,corrector,True,8,0.00014228688087314367,0.00012584775686264038,62.793556213378906,1.660603993514087e-05,0.00048134892131201923,True
20,10,0.1111111044883728,predictor,True,8,2.1264177121338435e-06,1.5124678611755371e-06,81.94969940185547,1.737826806902376e-07,5.360889190342277e-06,True
21,10,0.12359550595283508,corrector,True,8,8.431539026787505e-05,9.610503911972046e-05,65.3002700805664,9.054635484062601e-06,0.00044771924149245024,True
22,11,0.12359550595283508,predictor,True,8,8.645395155326696e-07,6.854534149169922e-07,85.76079559326172,5.55555317305334e-08,3.6459684906731127e-06,True
23,11,0.13636364042758942,corrector,True,8,6.693247269140556e-05,8.457154035568237e-05,67.05424499511719,6.4885057327046525e-06,0.0003925802302546799,True
24,12,0.13636364042758942,predictor,True,8,6.681344757453189e-07,5.960464477539062e-07,87.93098449707031,2.6543204967310885e-08,3.3519477256049868e-06,True
25,12,0.14942528307437897,corrector,True,8,6.508053047582507e-05,8.602440357208252e-05,68.14521789550781,4.048923074151389e-06,0.0003909456427209079,True
