call_index,step,t,call_kind,selected_for_test,valid_count,mean_pis_lpips,mean_pis_dino,mean_pis_psnr,min_pis_lpips,max_pis_lpips,valid_any
0,0,0.0,predictor,True,0,,,,,,False
1,0,0.010101010091602802,corrector,False,0,,,,,,False
2,1,0.010101010091602802,predictor,True,4,0.014505933038890362,0.03835979104042053,51.14469528198242,2.027809932769742e-05,0.05761413276195526,True
3,1,0.020408162847161293,corrector,False,0,,,,,,False
4,2,0.020408162847161293,predictor,True,4,0.0052390675991773605,0.009217917919158936,54.803287506103516,2.484106516931206e-05,0.020170513540506363,True
5,2,0.030927835032343864,corrector,False,0,,,,,,False
6,3,0.030927835032343864,predictor,True,4,0.001358977984637022,0.0007331520318984985,58.05331802368164,9.40644895308651e-06,0.004239200614392757,True
7,3,0.0416666641831398,corrector,False,0,,,,,,False
8,4,0.0416666641831398,predictor,True,4,0.00029282935429364443,0.00040408968925476074,63.44373321533203,2.4668267997185467e-06,0.000787434633821249,True
9,4,0.052631575614213943,corrector,False,0,,,,,,False
10,5,0.052631575614213943,predictor,True,4,1.9282932044006884e-05,2.3573637008666992e-05,72.33744049072266,9.520815638097702e-07,4.858645115746185e-05,True
11,5,0.06382978707551956,corrector,False,0,,,,,,False
12,6,0.06382978707551956,predictor,True,4,0.00013324350584298372,0.00015679001808166504,74.12515258789062,1.0828099448190187e-06,0.0005254428833723068,True
13,6,0.07526881992816925,corrector,False,0,,,,,,False
14,7,0.07526881992816925,predictor,True,4,0.0002269562828587368,0.00028058886528015137,74.40706634521484,1.4506682646242552e-06,0.0009005342144519091,True
15,7,0.08695651590824127,corrector,False,0,,,,,,False
16,8,0.08695651590824127,predictor,True,4,8.441186946583912e-05,0.00010633468627929688,73.9412841796875,1.1413685570005327e-06,0.00031792346271686256,True
17,8,0.09890110045671463,corrector,False,0,,,,,,False
18,9,0.09890110045671463,predictor,True,4,1.5089100998011418e-05,1.3917684555053711e-05,76.1313247680664,1.5670843822590541e-06,3.1574094464303926e-05,True
19,9,0.1111111044883728,corrector,False,0,,,,,,False
20,10,0.1111111044883728,predictor,True,4,2.999844809892238e-06,2.3096799850463867e-06,80.39903259277344,8.114912475321034e-07,5.360889190342277e-06,True
21,10,0.12359550595283508,corrector,False,0,,,,,,False
22,11,0.12359550595283508,predictor,True,4,1.3108070788803161e-06,1.1175870895385742e-06,84.80559539794922,1.235885065398179e-07,3.6459684906731127e-06,True
23,11,0.13636364042758942,corrector,False,0,,,,,,False
24,12,0.13636364042758942,predictor,True,4,1.082124981621746e-06,1.1622905731201172e-06,86.9595947265625,9.022474500852695e-08,3.3519477256049868e-06,True
25,12,0.14942528307437897,corrector,False,0,,,,,,False
26,13,0.14942528307437897,predictor,True,4,1.1185184121131897e-06,1.430511474609375e-06,88.69375610351562,2.4078691041040656e-08,3.824588020506781e-06,True
27,13,0.1627907007932663,corrector,False,0,,,,,,False
28,14,0.1627907007932663,predictor,True,4,1.3583384088633466e-06,1.8924474716186523e-06,89.99561309814453,1.137319216582e-08,5.02803686686093e-06,True
29,14,0.1764705777168274,corrector,False,0,,,,,,False
30,15,0.1764705777168274,predictor,True,4,1.3998253507452318e-06,2.041459083557129e-06,90.47926330566406,2.5726484054189314e-08,5.304164460540051e-06,True
31,15,0.1904761791229248,corrector,False,0,,,,,,False
32,16,0.1904761791229248,predictor,True,4,1.124166601584875e-06,1.6242265701293945e-06,89.85386657714844,5.916634648883701e-08,4.068293492309749e-06,True
33,16,0.20481927692890167,corrector,False,0,,,,,,False
34,17,0.20481927692890167,predictor,True,4,1.055116626957897e-06,1.1622905731201172e-06,89.6580581665039,4.688264709784562e-08,2.77836988971103e-06,True
35,17,0.2195121943950653,corrector,False,0,,,,,,False
36,18,0.2195121943950653,predictor,True,4,7.851828058846877e-07,6.705522537231445e-07,91.00493621826172,2.8968196730261297e-08,1.6161163785000099e-06,True
37,18,0.23456789553165436,corrector,False,0,,,,,,False
38,19,0.23456789553165436,predictor,True,4,3.2966588037197653e-07,4.172325134277344e-07,93.2708969116211,1.826735918086797e-08,9.025615099744755e-07,True
39,19,0.2499999850988388,corrector,False,0,,,,,,False
40,20,0.2499999850988388,predictor,True,4,2.0236362274772546e-07,2.8312206268310547e-07,94.62481689453125,3.546918136976274e-08,6.221605417522369e-07,True
41,20,0.26582276821136475,corrector,False,0,,,,,,False
42,21,0.26582276821136475,predictor,True,4,1.8369215126767813e-07,2.086162567138672e-07,94.86160278320312,3.481400767668674e-08,5.246239425105159e-07,True
43,21,0.28205129504203796,corrector,False,0,,,,,,False
44,22,0.28205129504203796,predictor,True,4,1.844960451080624e-07,1.9371509552001953e-07,95.25379180908203,3.4222047418097645e-08,5.373798330765567e-07,True
45,22,0.29870128631591797,corrector,False,0,,,,,,False
46,23,0.29870128631591797,predictor,True,4,4.524017356288823e-07,4.76837158203125e-07,92.98785400390625,2.312656555147896e-08,1.5636246644135099e-06,True
47,23,0.31578946113586426,corrector,False,0,,,,,,False
